airport_code,name,phone,unicom,website,jet_a_price,avgas_price,crew_cars,crew_lounge,catering,maintenance,hangars,deice,oxygen,gpu,lav,handling_fee,overnight_fee,ramp_fee,ramp_fee_waived
KAPA,Signature N,303-790-2575,130.075,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KAPA,Jetcenter,303-790-4321,130.575,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KAPA,Modern,303-649-9538,129.625,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KADS,Million Air,972-248-1600,129.025,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KADS,Galaxy Fbo,972-214-2002,130.00,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KADS,Atlantic,972-713-7000,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KPDK,Signature Aviation,770-452-0010,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KPDK,Origin Aviation,678-337-8285,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KPDK,Aerocenter,770-458-9851,129.05,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KPDK,Atlantic,770-454-5000,130.70,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KOPF,Fontainebleau Aviation,305-685-4646,131.775,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KOPF,Signature Aviation,305-687-8410,129.85,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KOPF,Jet Aviation,,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KOPF,Embassair,305-677-3696,131.80,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KOPF,Atlantic,305-455-2295,130.05,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KFXE,Signature Aviation,954-351-2003,131.275,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KFXE,Atlantic,954-772-7444,130.65,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KFXE,Banyan,954-491-3170,130.80,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KBCT,Signature Aviation,561-955-9556,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KBCT,Atlantic,561-368-1110,131.95,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KPTK,Premier Jet Services,248-666-4300,129.15,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KPTK,Pentastar Aviation,248-666-3630,131.15,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KPTK,Michigan Aviation,248-666-3440,131.325,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KPTK,Elite Jet Center,248-666-2211,131.225,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KPTK,Midfield,248-666-0550,131.525,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KFRG,Republic Jet Center,631-292-3000,131.40,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KFRG,Atlantic,631-752-9022,129.00,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KFRG,Modern,631-843-9488,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KBED,Jet Aviation Bedford,781-274-0030,131.525,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KBED,Signature Aviation,781-274-0010,130.80,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KBED,Atlantic,978-341-8400,131.40,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KPWK,Ascension FBO Network,847-325-0566,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KPWK,Signature Aviation,847-537-1200,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KPWK,Atlantic,847-808-0812,130.325,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KCRQ,Carlsbad Jet Center,760-891-2800,131.30,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KCRQ,Western Aviation,760-438-6800,130.00,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KCRQ,Atlantic,760-930-0123,131.175,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KSMO,Ascension Group Partners,310-617-3516,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KSMO,Atlantic Aviation,310-396-6770,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KMMU,Signature Aviation,973-292-1300,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KMMU,Atlantic,973-401-1900,131.575,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KCDW,Air Bound Aviation,973-575-1833,130.55,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KHWD,Meridian,510-674-2500,129.275,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KSGR,Globalselect,281-275-2400,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KDWH,Gill,281-376-5436,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KAFW,Alliance Aviation Southvcs,817-890-1000,129.75,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KFTW,Texas Jet,817-624-8438,129.85,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KFTW,Modern,866-289-8010,128.95,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KFFZ,"Heliponents, Inc.",480-981-8300,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KFFZ,Cunningham,602-488-3878,131.425,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KIWA,Gateway Aviation Southvcs,480-988-7700,129.875,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KDVT,Cutter Aviation,623-581-1444,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KDVT,Sibran,970-231-6114,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KCGZ,Casa Grande Municipal Airport,520-426-3616,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KCHD,Chandler Municipal Airport,480-782-3540,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KCHD,Chandler Air Southvc,480-963-6420,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KISP,New York Jet / Mid Island Air Service,631-588-5400,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KISP,Modern,631-588-0303,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KBJC,Signature Aviation,303-466-2336,131.575,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KBJC,Sheltair,303-590-9654,131.475,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KEGE,Signature Aviation,970-524-7700,130.125,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KASE,Atlantic Aviation,970-920-2016,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KGUC,Avflight Gunnison,970-641-0526,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KMTJ,Atlantic Aviation,970-249-7111,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KGJT,West Star Aviation,970-243-7500,129.575,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KCYS,Legend Aero Southerve,,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KCYS,Legend AeroServe,307-634-7079,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
